timestamp,pnl,pos_asml,pos_dual,fills,takes,lots
1784281910.6829162,651640.1699999993,-13,80,994,176,20005
1784281910.9270453,651637.5699999994,-28,80,995,176,20020
1784281911.1377027,651645.5699999994,-28,80,995,176,20020
1784281911.3632476,651645.5699999994,-28,80,995,176,20020
1784281911.564155,651645.5699999994,-28,80,995,176,20020
1784281911.842816,651645.5699999994,-28,80,995,176,20020
1784281912.0599027,651645.5699999994,-28,80,995,176,20020
1784281912.297083,651643.1699999993,-13,80,996,176,20035
1784281912.5775337,651651.1699999993,-13,80,996,176,20035
1784281912.8045926,651651.1699999993,-13,80,996,176,20035
1784281913.0058079,651651.1699999993,-13,80,996,176,20035
1784281913.2764266,651625.8699999994,-13,80,996,176,20035
1784281913.4978485,651633.8699999994,-13,80,996,176,20035
1784281913.698826,651633.8699999994,-13,80,996,176,20035
1784281913.91242,651633.8699999994,-13,80,996,176,20035
1784281914.1248593,651633.8699999994,-13,80,996,176,20035
1784281914.3443215,651633.8699999994,-13,80,996,176,20035
1784281914.545164,651617.8699999994,-13,80,996,176,20035
1784281914.7459564,651617.8699999994,-13,80,996,176,20035
1784281914.9478014,651635.1699999993,-13,80,996,176,20035
1784281915.1485915,651635.1699999993,-13,80,996,176,20035
1784281915.3844135,651635.1699999993,-13,80,996,176,20035
1784281915.5865703,651635.1699999993,-13,80,996,176,20035
1784281915.835237,651635.1699999993,-13,80,996,176,20035
1784281916.1151254,651633.8699999994,-13,80,996,176,20035
1784281916.3633165,651632.5699999994,-28,80,997,176,20050
1784281916.564183,651632.5699999994,-28,80,997,176,20050
1784281916.7653074,651632.5699999994,-28,80,997,176,20050
1784281916.9662218,651632.5699999994,-28,80,997,176,20050
1784281917.1670465,651632.5699999994,-28,80,997,176,20050
1784281917.3679254,651656.5699999994,-28,65,998,176,20065
1784281917.6001124,651656.5699999994,-28,65,998,176,20065
1784281917.8229406,651656.5699999994,-28,65,998,176,20065
1784281918.0238326,651653.7699999993,-28,65,998,176,20065
1784281918.2246978,651653.7699999993,-28,65,998,176,20065
1784281918.4255543,651653.7699999993,-28,65,998,176,20065
1784281918.6446457,651653.7699999993,-28,65,998,176,20065
1784281918.8683553,651653.7699999993,-28,65,998,176,20065
1784281919.1445155,651653.7699999993,-28,65,998,176,20065
1784281919.3882167,651653.7699999993,-28,65,998,176,20065
1784281919.601936,651664.2699999993,-28,40,999,176,20090
1784281920.0072103,651645.2699999993,-28,70,1000,176,20120
1784281921.0864372,651638.2699999993,-28,70,1000,176,20120
1784281921.3238513,651644.0699999994,-43,70,1001,176,20135
1784281921.5591047,651665.0699999994,-43,70,1001,176,20135
1784281921.7713869,651665.0699999994,-43,70,1001,176,20135
1784281921.9721718,651644.0699999994,-43,70,1001,176,20135
1784281922.173008,651648.3699999994,-43,70,1001,176,20135
1784281922.4578722,651648.3699999994,-43,70,1001,176,20135
1784281922.7613125,651666.3699999994,-43,40,1002,176,20165
1784281922.9801147,651658.3699999994,-43,70,1003,176,20195
1784281923.1809003,651658.3699999994,-43,70,1003,176,20195
1784281923.4132388,651654.0699999994,-43,70,1003,176,20195
1784281923.6387427,651672.3699999994,-43,40,1004,176,20225
1784281923.8777092,651672.3699999994,-43,40,1004,176,20225
1784281924.0838823,651672.3699999994,-43,40,1004,176,20225
1784281924.284787,651672.3699999994,-43,40,1004,176,20225
1784281924.5125928,651672.3699999994,-28,40,1005,176,20240
1784281924.7641842,651660.3699999994,-28,40,1005,176,20240
1784281924.9799433,651667.1699999993,-28,50,1006,177,20250
