timestamp,pnl,cash,posA,posB
1782939462.0851867,5278.001999999968,5285.001999999968,-14,14
1782939467.0852425,5296.101999999968,5300.501999999968,-44,44
1782939472.085273,5293.201999999968,5120.301999999968,-33,35
1782939477.0852997,5290.701999999968,5290.701999999968,0,0
1782939482.0853727,5290.701999999968,5290.701999999968,0,0
1782939487.0854304,5289.201999999968,5291.001999999968,-3,3
1782939492.0855193,5289.001999999969,5296.801999999968,-26,26
1782939497.085582,5281.2019999999675,5296.801999999968,-26,26
1782939502.0856013,5283.801999999967,5296.801999999968,-26,26
1782939507.0856988,5286.401999999967,5301.2019999999675,-37,37
1782939512.085715,5277.801999999966,5307.201999999967,-49,49
1782939517.0857732,5272.901999999966,5307.201999999967,-49,49
1782939522.085814,5257.501999999968,5342.101999999968,-94,94
1782939527.085879,5295.701999999968,5342.701999999968,-94,94
1782939532.0859015,5276.901999999969,5342.701999999968,-94,94
1782939537.0859349,5290.401999999966,5314.901999999966,-49,49
1782939542.0859816,5306.401999999966,5310.101999999967,-37,37
1782939547.0860567,5299.001999999969,5306.801999999968,-26,26
1782939552.0861714,5301.601999999968,5304.401999999967,-14,14
1782939557.0862486,5305.801999999967,5305.801999999967,0,0
1782939562.0862648,5306.401999999966,5306.401999999966,0,0
1782939567.0863678,5306.401999999966,5307.301999999967,3,-3
1782939572.0864048,5311.701999999967,5311.701999999967,0,0
1782939577.0864134,5322.101999999968,5322.101999999968,0,0
1782939582.0864747,5322.101999999968,5322.401999999967,-3,3
1782939587.0865602,5321.801999999967,5322.401999999967,-3,3
1782939592.0865624,5322.701999999967,5322.401999999967,-3,3
1782939597.0866284,5329.301999999968,5329.301999999968,-26,26
1782939602.086705,5325.501999999968,5326.901999999968,-14,14
1782939607.0867257,5324.101999999968,5326.901999999968,-14,14
1782939612.0868304,5325.201999999968,5325.801999999969,-3,3
1782939617.0869093,5324.901999999969,5325.801999999969,-3,3
1782939622.0869448,5330.10199999997,5332.701999999969,-26,26
1782939627.086974,5319.701999999969,5332.701999999969,-26,26
1782939632.0869904,5322.301999999969,5337.101999999969,-37,37
1782939637.087074,5328.60199999997,5333.80199999997,-26,26
1782939642.0871289,5329.601999999969,5335.801999999969,-31,31
1782939647.0871549,5323.401999999969,5335.801999999969,-31,31
1782939652.0872564,5317.201999999969,5335.801999999969,-31,31
1782939657.0872614,5314.101999999968,5335.801999999969,-31,31
1782939662.0873642,5326.5019999999695,5335.801999999969,-31,31
1782939667.0874066,5332.701999999968,5335.801999999969,-31,31
1782939672.087451,5331.301999999969,5331.301999999969,0,0
1782939677.0874655,5331.301999999969,5331.301999999969,0,0
1782939682.0875056,5331.601999999969,5331.601999999969,0,0
1782939687.0875297,5331.601999999969,5331.601999999969,0,0
1782939692.0875533,5331.601999999969,5331.601999999969,0,0
1782939697.087625,5331.601999999969,5331.601999999969,0,0
1782939702.0877092,5331.901999999969,5331.901999999969,0,0
1782939707.0877721,5331.901999999969,5332.201999999968,-3,3
1782939712.0878577,5331.301999999969,5332.201999999968,-3,3
1782939717.0878804,5332.201999999969,5332.201999999968,-3,3
1782939722.0879047,5333.901999999968,5336.701999999968,-14,14
1782939727.0879114,5335.601999999968,5335.601999999968,0,0
1782939732.0879152,5335.601999999968,5335.601999999968,0,0
1782939737.088014,5335.601999999968,5335.601999999968,0,0
1782939742.088063,5335.901999999967,5335.901999999968,-3,3
1782939747.0881548,5334.701999999968,5335.901999999968,-3,3
1782939752.0882149,5336.101999999966,5338.901999999967,-14,14
1782939757.0882676,5345.501999999968,5345.201999999968,-3,3
1782939762.0883298,5344.901999999968,5345.201999999968,-3,3
1782939767.0883396,5343.201999999968,5347.401999999968,-14,14
1782939772.088408,5346.001999999969,5346.301999999969,-3,3
1782939777.0885017,5346.601999999968,5346.301999999969,-3,3
1782939782.0885057,5346.301999999969,5346.301999999969,0,0
1782939787.0885718,5346.601999999969,5347.201999999968,3,-3
1782939792.0886264,5346.301999999969,5347.201999999968,3,-3
1782939797.0886326,5346.301999999969,5347.201999999968,3,-3
1782939802.0886612,5346.901999999969,5346.901999999969,0,0
1782939807.0887299,5346.901999999969,5346.901999999969,0,0
1782939812.0887914,5346.901999999969,5347.201999999968,-3,3
1782939817.0888824,5347.201999999968,5347.201999999968,0,0
1782939822.0888863,5347.201999999968,5347.201999999968,0,0
1782939827.0889354,5347.201999999968,5347.201999999968,0,0
1782939832.088975,5347.801999999969,5347.801999999969,0,0
1782939837.0889876,5347.801999999969,5347.801999999969,0,0
1782939842.0890207,5347.801999999969,5347.801999999969,0,0
1782939847.0891168,5347.5019999999695,5348.701999999968,3,-3
1782939852.0891547,5348.101999999969,5348.101999999969,0,0
1782939857.0892587,5342.801999999969,5368.701999999969,37,-37
1782939862.089336,5363.201999999969,5363.201999999969,26,-26
1782939867.089377,5351.40199999997,5358.401999999969,14,-14
1782939872.0894737,5350.00199999997,5358.401999999969,14,-14
1782939877.089513,5351.401999999969,5364.401999999969,26,-26
1782939882.0895193,5356.60199999997,5364.401999999969,26,-26
1782939887.089521,5354.0019999999695,5364.401999999969,26,-26
1782939892.0895495,5356.901999999969,5357.5019999999695,3,-3
1782939897.0896285,5356.90199999997,5356.90199999997,0,0
1782939902.0896866,5356.90199999997,5356.90199999997,0,0
1782939907.0897317,5359.201999999971,5358.901999999971,3,-3
