timestamp,buy_venue,sell_venue,gap,units,reducing
1786137849.4276621,OB5X_202612_F,OB5X_ETF,0.2125,37,0
1786137858.937286,OB5X_ETF,OB5X_202612_F,0.0869,16,1
1786137863.3316436,OB5X_ETF,OB5X_202703_F,0.1852,32,0
1786137867.5783687,BASKET,OB5X_202706_F,0.1269,4,0
1786137876.7418063,OB5X_202703_F,BASKET,0.0897,4,1
1786137878.0658753,BASKET,OB5X_202706_F,0.1243,4,0
1786137880.7310996,OB5X_202706_F,OB5X_ETF,0.0991,48,1
1786137881.999058,OB5X_ETF,BASKET,0.1847,4,1
1786137884.1902044,OB5X_ETF,OB5X_202706_F,0.3021,4,1
1786137884.2636993,OB5X_202703_F,OB5X_ETF,0.2077,4,0
1786137884.2968895,OB5X_202612_F,OB5X_ETF,0.1086,4,0
1786137887.4294655,OB5X_ETF,OB5X_202706_F,0.3029,48,1
1786137890.6023533,OB5X_202703_F,OB5X_ETF,0.008,48,1
1786137895.5866344,OB5X_ETF,OB5X_202703_F,0.098,48,1
1786137903.292953,OB5X_202703_F,OB5X_ETF,0.3066,33,1
1786137903.324909,OB5X_202612_F,OB5X_ETF,0.3042,9,0
1786137903.3932912,OB5X_202706_F,OB5X_ETF,0.2976,6,0
1786137906.5428169,OB5X_ETF,OB5X_202703_F,0.093,48,1
1786137912.3828824,BASKET,OB5X_202706_F,1.4908,4,0
1786137915.9840484,OB5X_202706_F,OB5X_ETF,0.4928,48,1
1786137917.0611928,OB5X_202703_F,BASKET,0.0913,4,1
1786137933.2960353,BASKET,OB5X_202612_F,0.1106,4,0
1786137933.800977,OB5X_202612_F,BASKET,0.4165,4,0
1786137938.6294558,BASKET,OB5X_202703_F,0.1086,4,0
1786137941.1653447,OB5X_202703_F,BASKET,0.0584,4,1
1786137944.5841084,OB5X_ETF,OB5X_202706_F,0.1239,48,1
1786137961.3900335,OB5X_202706_F,OB5X_ETF,0.0789,48,1
1786137966.789373,OB5X_ETF,OB5X_202703_F,0.4997,48,0
1786137967.481303,BASKET,OB5X_202703_F,0.1315,4,0
1786137970.924608,OB5X_202706_F,OB5X_ETF,0.1764,25,0
1786137973.135982,OB5X_ETF,OB5X_202706_F,0.1271,25,1
1786137974.1789715,OB5X_202703_F,BASKET,0.1617,4,1
1786137982.5623672,OB5X_202703_F,OB5X_ETF,0.3959,48,1
1786137992.9925323,OB5X_ETF,OB5X_202706_F,0.1273,8,1
1786137993.1043446,OB5X_ETF,OB5X_202703_F,0.111,40,0
1786137995.2124186,BASKET,OB5X_202612_F,0.1387,4,0
1786137995.622179,OB5X_202703_F,OB5X_ETF,0.0815,48,1
1786138004.4342604,OB5X_ETF,OB5X_202706_F,0.2409,48,1
1786138042.858706,OB5X_202703_F,OB5X_ETF,0.6643,48,1
1786138049.201458,OB5X_ETF,OB5X_202612_F,0.0376,48,1
1786138049.8578184,OB5X_202612_F,OB5X_ETF,0.0553,48,1
1786138061.8494046,OB5X_ETF,OB5X_202703_F,0.0363,48,1
1786138063.4803286,OB5X_202706_F,OB5X_ETF,0.0427,48,1
1786138087.082163,OB5X_202703_F,BASKET,0.3,9,1
1786138087.2309048,OB5X_202612_F,BASKET,0.1987,1,0
1786138091.518177,OB5X_202706_F,BASKET,0.1452,1,0
1786138100.2437718,BASKET,OB5X_202706_F,0.2629,10,1
1786138101.5500176,OB5X_202703_F,BASKET,0.0767,9,1
1786138101.8548822,OB5X_202703_F,BASKET,0.1329,1,0
1786138105.0763698,OB5X_ETF,OB5X_202706_F,0.0796,48,1
1786138141.070653,BASKET,OB5X_ETF,0.2514,10,1
