timestamp,pnl,pnl_arb,pnl_opt,pnl_hedge,delta,gamma,band_eff,u_etf,u_basket,u_f612,u_f703,u_f706,hedge_pos,fills,arbs,lots,n_quotes,quoted_vol
1786151706.4694204,3756164.1389999986,4015,575,-124,-4.62,0.5232,7.33,-23.75,17.71,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151706.9854589,3756176.038999998,4024,575,-124,-4.62,0.5232,7.33,-23.75,17.75,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151707.4876995,3756181.438999998,4021,575,-124,-4.62,0.5232,7.33,-23.75,17.74,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151708.0059633,3756187.0389999985,4031,575,-124,-4.62,0.5232,7.33,-23.75,17.69,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151708.511901,3756124.3389999983,4033,570,-118,-4.67,0.5246,7.32,-23.75,17.73,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151709.025304,3756139.5389999985,4038,570,-118,-4.67,0.5246,7.32,-23.75,17.73,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151709.5263948,3756158.7389999987,4045,570,-124,-4.62,0.5232,7.33,-23.75,17.74,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151710.0404224,3756158.7389999987,4042,575,-124,-4.62,0.5232,7.33,-23.75,17.72,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151710.5514371,3756155.938999998,4040,575,-124,-4.62,0.5232,7.33,-23.75,17.72,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151711.0670376,3756146.4389999984,4038,575,-124,-4.62,0.5232,7.33,-23.75,17.71,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151711.571143,3756147.338999998,4035,575,-124,-4.62,0.5232,7.33,-23.75,17.69,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151712.0875142,3756156.1389999976,4030,575,-124,-4.62,0.5232,7.33,-23.75,17.69,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151712.5894296,3756127.1389999976,4026,580,-129,-4.57,0.5217,7.34,-23.75,17.64,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151713.103578,3756121.338999998,4026,580,-129,-4.57,0.5217,7.34,-23.75,17.65,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151713.617578,3756121.6389999976,4038,578,-126,-4.6,0.5224,7.34,-23.75,17.7,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151714.1345103,3756140.6389999976,4036,578,-126,-4.6,0.5224,7.34,-23.75,17.7,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151714.637593,3756161.738999998,4041,578,-126,-4.6,0.5224,7.34,-23.75,17.7,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151715.1533222,3756171.3389999988,4045,572,-121,-4.65,0.5239,7.32,-23.75,17.74,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151715.6644228,3756171.3389999988,4040,580,-129,-4.57,0.5217,7.34,-23.75,17.68,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
1786151716.177948,3756162.2389999977,4049,580,-129,-4.57,0.5217,7.34,-23.75,17.73,-38.24,40.56,-3.06,-57,3876,1011,141436,4,88
